Month,ID,Name,Age,AnnualIncome,MonthlyInhandSalary,NumBankAccounts,NumCreditCard,InterestRate,NumofLoan,TypeofLoan,Delayfromduedate,NumofDelayedPayment,ChangedCreditLimit,NumCreditInquiries,CreditMix,OutstandingDebt,CreditUtilizationRatio,CreditHistoryAge,PaymentofMinAmount,TotalEMIpermonth,Amountinvestedmonthly,PaymentBehaviour,MonthlyBalance,CreditScore,,,,,,,,,,,,
July,228,Oreskovicb,52,38175.39,3287.2825,1,2,7,3,"Personal Loan, Personal Loan, and Debt Consolidation Loan",5,8,11.81,2,Good,315.36,31.07104083,28 Years and 3 Months,No,69.05565634,110.4962674,High_spent_Small_value_payments,409.1763263,Good,,,,,,,,,,,,
August,228,Oreskovicb,52,38175.39,3287.2825,1,2,7,3,"Personal Loan, Personal Loan, and Debt Consolidation Loan",1,8,11.81,2,Good,315.36,27.79527798,28 Years and 4 Months,NM,69.05565634,309.8198239,Low_spent_Medium_value_payments,229.8527697,Standard,,,,,,,,,,,,
January,229,Peterw,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,,8.47,0,Good,1124.02,29.57051958,29 Years and 2 Months,No,171.0770243,170.4958135,HighspentLargevaluepayments,882.0514122,Poor,,,,,,,,,,,,
February,229,Peterw,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,1,8.47,0,Good,1124.02,35.21704912,29 Years and 3 Months,No,171.0770243,410.2661461,HighspentMediumvaluepayments,652.2810796,Poor,,,,,,,,,,,,
March,229,Peterw,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,1,9.47,0,Good,1124.02,39.66605557,29 Years and 4 Months,No,171.0770243,216.441338,HighspentMediumvaluepayments,846.1058877,Poor,,,,,,,,,,,,
April,229,Peterw,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,4,6.47,0,Good,1124.02,38.30246518,29 Years and 5 Months,No,171.0770243,,!@9#%8,794.5719885,Standard,,,,,,,,,,,,
May,229,Peterw,22,116594.91,9836.2425,5,6,10,-100,"Not Specified, and Mortgage Loan",11,4,8.47,0,Good,1124.02,35.76066968,29 Years and 6 Months,NM,171.0770243,339.8581191,LowspentMediumvaluepayments,752.6891067,Poor,,,,,,,,,,,,
June,229,Peterw,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,4,8.47,0,Good,1124.02,39.01238019,29 Years and 7 Months,No,171.0770243,356.382464,HighspentMediumvaluepayments,706.1647617,Poor,,,,,,,,,,,,
July,229,Peterw,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,7,8.47,0,Good,1124.02,40.33906106,NA,NM,171.0770243,92.99192551,High_spent_Large_value_payments,959.5553002,Standard,,,,,,,,,,,,
August,229,,22,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,3,8.47,0,Good,1124.02,24.48590727,29 Years and 9 Months,No,171.0770243,1121.798496,Low_spent_Small_value_payments,0,Standard,,,,,,,,,,,,
January,230,Joyce Leeo,48,24894.05,2371.504167,8,3,8,0,,22,10,7.3,4,Standard,86.43,27.85034159,33 Years and 1 Months,NM,0,32.42887831,HighspentLargevaluepayments,444.7215384,Standard,,,,,,,,,,,,
February,230,,48,24894.05,2371.504167,8,3,8,0,,21,13,2.3,4,,86.43,36.22204782,33 Years and 2 Months,No,0,86.23276546,LowspentSmallvaluepayments,440.9176512,Standard,,,,,,,,,,,,
March,230,Joyce Leeo,48,24894.05,2371.504167,8,3,8,0,,21,10,2.3,4,Standard,86.43,37.43352458,NA,No,0,240.9318283,LowspentMediumvaluepayments,276.2185884,Standard,,,,,,,,,,,,
April,230,Joyce Leeo,48,24894.05,2371.504167,8,3,8,0,,21,10,2.3,5,,86.43,40.24016596,33 Years and 4 Months,No,0,10000,LowspentMediumvaluepayments,335.5348442,Standard,,,,,,,,,,,,
May,230,Joyce Leeo,48,24894.05,2371.504167,8,3,8,0,,21,12,2.3,5,Standard,86.43,32.76881407,33 Years and 5 Months,No,0,111.5333125,LowspentLargevaluepayments,395.6171042,Standard,,,,,,,,,,,,
June,230,,48,24894.05,2371.504167,8,3,8,0,,21,11,3.3,5,Standard,86.43,28.87088487,NA,No,0,10000,LowspentLargevaluepayments,412.4619771,Standard,,,,,,,,,,,,
July,230,Joyce Leeo,48,24894.05,2371.504167,8,249,8,0,,21,10,2.3,5,Standard,86.43,32.09523799,33 Years and 7 Months,No,0,312.3547839,Low_spent_Small_value_payments,214.7956327,Standard,,,,,,,,,,,,
August,230,Joyce Leeo,49,24894.05,2371.504167,8,3,8,0,,23,,2.3,5,_,86.43,33.83749258,NA,No,0,139.6363457,Low_spent_Small_value_payments,387.514071,Standard,,,,,,,,,,,,
January,231,Barrf,38,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",27,19,18.62,12,Standard,2206.86,38.24463199,11 Years and 5 Months,Yes,43.1712988,317.9129512,LowspentMediumvaluepayments,267.64825,Poor,,,,,,,,,,,,
February,231,Barrf,38,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",27,17,18.62,12,Standard,2206.86,22.6906878,NA,Yes,43.1712988,193.8628759,LowspentSmallvaluepayments,401.6983253,Poor,,,,,,,,,,,,
March,231,Barrf,38,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",26,18,18.62,12,Standard,2206.86,37.22612684,11 Years and 7 Months,Yes,43.1712988,152.9151628,LowspentLargevaluepayments,422.6460384,Poor,,,,,,,,,,,,
April,231,Barrf,38,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",25,18,18.62,12,Standard,2206.86,29.45015859,11 Years and 8 Months,Yes,43.1712988,87.35828461,HighspentSmallvaluepayments,478.2029166,Poor,,,,,,,,,,,,
May,231,Barrf,38,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",27,,18.62,12,Standard,2206.86,35.20964158,11 Years and 9 Months,Yes,43.1712988,195.475668,LowspentMediumvaluepayments,390.0855332,Poor,,,,,,,,,,,,
June,231,Barrf,38,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",26,18,18.62,15,Standard,2206.86,33.37275171,11 Years and 10 Months,Yes,43.1712988,309.4610082,LowspentLargevaluepayments,266.100193,Poor,,,,,,,,,,,,
July,231,Barrf,38_,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",27,18,18.62,15,Standard,2206.86,23.02924421,11 Years and 11 Months,Yes,43.1712988,154.2049329,High_spent_Small_value_payments,411.3562683,Poor,,,,,,,,,,,,
August,231,Barrf,39,39399.9,3487.325,6,6,17,2,"Not Specified, and Payday Loan",27,18,18.62,15,Standard,2206.86,36.48665563,12 Years and 0 Months,Yes,43.1712988,73.46371303,High_spent_Large_value_payments,472.0974882,Poor,,,,,,,,,,,,
January,232,Julienz,24,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",16,12,18.1,8,Standard,1037.68,38.43515845,22 Years and 3 Months,Yes,224.1221386,247.7038276,HighspentLargevaluepayments,958.5570338,Standard,,,,,,,,,,,,
February,232,Julienz,24,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",22,14,18.1,8,Standard,1037.68,41.19090798,22 Years and 4 Months,Yes,224.1221386,186.9097606,HighspentLargevaluepayments,1019.351101,Standard,,,,,,,,,,,,
March,232,Julienz,24,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",21,12,18.1,8,Standard,1037.68,35.55766755,22 Years and 5 Months,Yes,224.1221386,303.7554627,HighspentMediumvaluepayments,912.5053987,Standard,,,,,,,,,,,,
April,232,Julienz,25,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",21,13,18.1,9,,1037.68,41.53213704,22 Years and 6 Months,NM,224.1221386,539.3393474,LowspentMediumvaluepayments,706.921514,Standard,,,,,,,,,,,,
May,232,Julienz,25,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",21,12,18.1,9,Standard,1037.68,38.11568318,22 Years and 7 Months,NM,224.1221386,716.3027906,LowspentLargevaluepayments,519.9580708,Standard,,,,,,,,,,,,
June,232,,25,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",21,12,18.1,9,,1037.68,36.41980579,22 Years and 8 Months,Yes,224.1221386,442.2678835,HighspentMediumvaluepayments,773.9929779,Standard,,,,,,,,,,,,
July,232,Julienz,25,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",21,12,18.1,9,Standard,1037.68,27.51389789,22 Years and 9 Months,Yes,224.1221386,389.7518482,!@9#%8,846.5090132,Standard,,,,,,,,,,,,
August,232,Julienz,25,142113.96,11903.83,6,4,17,3,"Payday Loan, Home Equity Loan, and Personal Loan",18,12,18.1,9,Standard,1037.68,30.66748597,22 Years and 10 Months,Yes,224.1221386,104.1574268,High_spent_Large_value_payments,1102.103435,Standard,,,,,,,,,,,,
January,233,Jonathan Stempelm,47,65299.38,5305.615,4,5,1352,2,"Student Loan, and Credit-Builder Loan",10,0,5.68,1,Good,1177.38,38.52846274,25 Years and 10 Months,NM,77.00931295,217.9119462,LowspentMediumvaluepayments,515.6402408,Standard,,,,,,,,,,,,
February,233,Jonathan Stempelm,47,65299.38,5305.615,4,5,8,2,"Student Loan, and Credit-Builder Loan",10,0,,1,,1177.38,37.40082686,25 Years and 11 Months,No,77.00931295,183.9708135,HighspentMediumvaluepayments,519.5813736,Poor,,,,,,,,,,,,
March,233,Jonathan Stempelm,47,65299.38,5305.615,4,986,8,2,"Student Loan, and Credit-Builder Loan",5,3,5.68,1,,1177.38,25.82050719,26 Years and 0 Months,No,77.00931295,248.018809,LowspentMediumvaluepayments,485.533378,Poor,,,,,,,,,,,,
April,233,Jonathan Stempelm,47,65299.38,5305.615,4,5,8,2,"Student Loan, and Credit-Builder Loan",5,0,5.68,1,Good,1177.38,31.77341041,26 Years and 1 Months,No,77.00931295,312.735402,HighspentSmallvaluepayments,400.816785,Poor,,,,,,,,,,,,
May,233,Jonathan Stempelm,47,65299.38,5305.615,4,5,8,2,"Student Loan, and Credit-Builder Loan",7,,5.68,1,Good,1177.38,37.49657668,26 Years and 2 Months,No,77.00931295,128.5781545,LowspentLargevaluepayments,594.9740326,Poor,,,,,,,,,,,,
June,233,,48,65299.38,5305.615,4,5,8,-100,"Student Loan, and Credit-Builder Loan",10,0,5.68,1,Good,1177.38,28.45479047,26 Years and 3 Months,No,77.00931295,203.973113,HighspentMediumvaluepayments,499.5790741,Standard,,,,,,,,,,,,
July,233,Jonathan Stempelm,48,65299.38,5305.615,4,5,8,2,"Student Loan, and Credit-Builder Loan",10,0,5.68,2,Good,1177.38,37.73239356,NA,No,77.00931295,90.73515187,High_spent_Medium_value_payments,612.8170352,Poor,,,,,,,,,,,,
August,233,Jonathan Stempelm,48,65299.38,5305.615,4,5,8,2,"Student Loan, and Credit-Builder Loan",10,0,5.68,2,Good,1177.38,32.76437061,26 Years and 5 Months,NM,77.00931295,61.08345477,High_spent_Medium_value_payments,642.4687323,Poor,,,,,,,,,,,,
January,234,Onoszkoz,52,33200.52,2755.71,1429,4,20,2,"Student Loan, and Student Loan",25,18,9.59,4,Standard,1290.73,38.2187307,17 Years and 5 Months,No,28.06429662,36.30527047,HighspentMediumvaluepayments,461.2014329,Standard,,,,,,,,,,,,
February,234,Onoszkoz,52,33200.52,2755.71,6,4,20,2,"Student Loan, and Student Loan",25,15,9.59,4,Standard,1290.73,30.05494268,17 Years and 6 Months,No,28.06429662,182.4360563,HighspentSmallvaluepayments,325.070647,Standard,,,,,,,,,,,,
March,234,Onoszkoz,52,33200.52,2755.71,6,1426,20,2,"Student Loan, and Student Loan",25,16,9.59,4,Standard,1290.73,31.4573681,17 Years and 7 Months,No,28.06429662,10000,LowspentSmallvaluepayments,230.3044337,Standard,,,,,,,,,,,,
April,234,,52,33200.52,2755.71,6,4,20,2,"Student Loan, and Student Loan",25,15,9.59,4,Standard,1290.73,32.44904793,17 Years and 8 Months,No,28.06429662,246.4523372,LowspentMediumvaluepayments,281.0543662,Standard,,,,,,,,,,,,
May,234,Onoszkoz,52,33200.52,2755.71,6,4,20,2,"Student Loan, and Student Loan",25,18,9.59,4,Standard,1290.73,33.93119499,17 Years and 9 Months,No,61847,147.2815066,HighspentSmallvaluepayments,360.2251968,Standard,,,,,,,,,,,,
June,234,Onoszkoz,52,33200.52,2755.71,6,4,20,2,"Student Loan, and Student Loan",25,18,9.59,4,Standard,1290.73,29.95910072,17 Years and 10 Months,No,28.06429662,281.8062878,!@9#%8,255.7004156,Standard,,,,,,,,,,,,
July,234,Onoszkoz,52,33200.52,2755.71,6,4,20,2,"Student Loan, and Student Loan",25,16,12.59,4,Standard,1290.73,34.26765228,17 Years and 11 Months,No,28.06429662,36.79032481,High_spent_Medium_value_payments,460.7163786,Standard,,,,,,,,,,,,
August,234,Onoszkoz,52,33200.52,2755.71,6,4,20,2,"Student Loan, and Student Loan",25,18,8.59,7,Standard,1290.73,33.49223798,18 Years and 0 Months,No,28.06429662,,Low_spent_Small_value_payments,290.3205348,Standard,,,,,,,,,,,,
January,235,Sarah Whited,40,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",29,17,18.75,11,Bad,4736.25,39.99531969,8 Years and 11 Months,Yes,240.7514411,101.0511413,HighspentLargevaluepayments,593.3420843,Standard,,,,,,,,,,,,
February,235,Sarah Whited,40,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",29,16,18.75,11,Bad,4736.25,28.29148332,9 Years and 0 Months,Yes,240.7514411,104.1361597,HighspentLargevaluepayments,590.2570658,Standard,,,,,,,,,,,,
March,235,,40,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",29,16,18.75,11,Bad,4736.25,28.9308718,9 Years and 1 Months,Yes,240.7514411,88.92490897,HighspentLargevaluepayments,605.4683166,Poor,,,,,,,,,,,,
April,235,Sarah Whited,40,873048,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",29,17,22.75,11,,4736.25,35.1865334,9 Years and 2 Months,Yes,240.7514411,,HighspentMediumvaluepayments,525.8781321,Standard,,,,,,,,,,,,
May,235,Sarah Whited,41,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",25,18,15.75,11,Bad,4736.25,36.84779386,9 Years and 3 Months,Yes,240.7514411,723.5645616,LowspentSmallvaluepayments,20.82866392,Poor,,,,,,,,,,,,
June,235,Sarah Whited,41,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",24,16,18.75,11,Bad,4736.25,29.65159924,9 Years and 4 Months,Yes,240.7514411,70.7331489,HighspentLargevaluepayments,623.6600767,Poor,,,,,,,,,,,,
July,235,Sarah Whited,41,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",29,16,18.75,12,Bad,4736.25,24.88499143,9 Years and 5 Months,NM,240.7514411,513.0982319,Low_spent_Medium_value_payments,221.2949937,Poor,,,,,,,,,,,,
August,235,Sarah Whited,41,82289.36,6951.446667,8,8,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",29,16,18.75,12,Bad,4736.25,23.8670272,9 Years and 6 Months,Yes,240.7514411,187.5039006,Low_spent_Medium_value_payments,546.8893249,Poor,,,,,,,,,,,,
January,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",16,18,16.6,9,Standard,2041.74,36.7816583,14 Years and 10 Months,Yes,42.0997216,17.96458279,HighspentMediumvaluepayments,247.2729873,Poor,,,,,,,,,,,,
February,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",16,18,16.6,9,Standard,2041.74,38.02983718,14 Years and 11 Months,Yes,42.0997216,64.72907524,LowspentSmallvaluepayments,240.5084948,Poor,,,,,,,,,,,,
March,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",19,15,20.6,9,Standard,2041.74,27.51535332,15 Years and 0 Months,Yes,42.0997216,64.48978678,LowspentSmallvaluepayments,240.7477833,Poor,,,,,,,,,,,,
April,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",16,18,16.6,9,Standard,2041.74,24.40539991,15 Years and 1 Months,Yes,42.0997216,15.35642956,LowspentLargevaluepayments,269.8811405,Poor,,,,,,,,,,,,
May,236,,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",16,18,16.6,9,Standard,2041.74,37.56484685,15 Years and 2 Months,Yes,42.0997216,24.71231113,LowspentSmallvaluepayments,280.5252589,Poor,,,,,,,,,,,,
June,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",16,18,16.6,10,Standard,2041.74,28.43304864,15 Years and 3 Months,Yes,42.0997216,28.63523416,HighspentSmallvaluepayments,246.6023359,Standard,,,,,,,,,,,,
July,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,16,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",19,18_,12.6,10,Standard,2041.74,37.05609107,15 Years and 4 Months,NM,42.0997216,35.11579155,Low_spent_Small_value_payments,270.1217785,Standard,,,,,,,,,,,,
August,236,Catherine Bosleyn,39,7792.475,573.3729167,6,7,5199,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",16,18,14.6,10,Standard,2041.74,39.36846871,15 Years and 5 Months,Yes,42.0997216,30.80046628,High_spent_Small_value_payments,244.4371038,Poor,,,,,,,,,,,,
January,237,Annikam,36,65778.22,573.3729167,5,3,11,4,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",26,,11.6,4,Standard,705.44,26.37565289,16 Years and 3 Months,No,172.5305333,94.82619753,HighspentMediumvaluepayments,538.7951025,Standard,,,,,,,,,,,,
February,237,Annikam,36,65778.22,573.3729167,5,3,11,-100,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",29,15,11.6,4,Standard,705.44,31.47539328,16 Years and 4 Months,No,172.5305333,489.2118584,LowspentMediumvaluepayments,174.4094417,Standard,,,,,,,,,,,,
March,237,,36,65778.22,5561.518333,5,3,11,4,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",26,15,11.6,6,Standard,705.44,24.58175362,16 Years and 5 Months,No,172.5305333,158.470614,LowspentLargevaluepayments,495.1506861,Standard,,,,,,,,,,,,
April,237,Annikam,36,65778.22,5561.518333,5,3,11,4,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",23,17,,6,Standard,705.44,36.41680033,16 Years and 6 Months,No,172.5305333,479.0596935,LowspentMediumvaluepayments,184.5616066,Standard,,,,,,,,,,,,
May,237,Annikam,36,65778.22,5561.518333,5,3,11,4,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",31,16,11.6,6,Standard,705.44,28.02009804,16 Years and 7 Months,No,172.5305333,162.5783514,HighspentMediumvaluepayments,471.0429486,Standard,,,,,,,,,,,,
June,237,Annikam,36,65778.22,5561.518333,5,3,11,4,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",22,15,11.6,6,,705.44,38.44796608,16 Years and 8 Months,No,172.5305333,215.0488641,HighspentMediumvaluepayments,418.5724359,Standard,,,,,,,,,,,,
July,237,Annikam,36,65778.22_,5561.518333,5,3,11,-100,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",26,15,5.6,6,Standard,705.44,34.0645719,16 Years and 9 Months,No,172.5305333,122.8397279,High_spent_Large_value_payments,500.7815721,Standard,,,,,,,,,,,,
August,237,Annikam,37,65778.22_,5561.518333,5,3,11,4,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",26,18,11.6,6,Standard,705.44,31.1060513,16 Years and 10 Months,No,172.5305333,90.12282122,High_spent_Medium_value_payments,543.4984788,Standard,,,,,,,,,,,,
January,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",31,10,15.23,0,Standard,583.27,32.66370838,NA,Yes,20.74354374,27.76198441,LowspentMediumvaluepayments,304.4278052,Standard,,,,,,,,,,,,
February,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",27,7,15.23,0,,583.27,35.32192991,30 Years and 2 Months,Yes,20.74354374,96.34630239,!@9#%8,245.8434872,Standard,,,,,,,,,,,,
March,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",29,10,15.23,0,,583.27,35.73954063,NA,Yes,20.74354374,15.9379276,HighspentSmallvaluepayments,296.251862,Standard,,,,,,,,,,,,
April,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",27,10,15.23,0,Standard,583.27,31.32842058,30 Years and 4 Months,Yes,20.74354374,40.7465063,LowspentSmallvaluepayments,301.4432833,Standard,,,,,,,,,,,,
May,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",27,10,15.23,0,Standard,583.27,27.31961806,30 Years and 5 Months,Yes,20.74354374,13.5798016,HighspentLargevaluepayments,278.609988,Standard,,,,,,,,,,,,
June,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",27,10,15.23,0,Standard,583.27,26.02664925,30 Years and 6 Months,Yes,20.74354374,47.51613576,LowspentMediumvaluepayments,284.6736538,Standard,,,,,,,,,,,,
July,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",27,10,15.23,0,Standard,583.27,24.59607711,30 Years and 7 Months,Yes,20.74354374,68.30562784,!@9#%8,263.8841618,Standard,,,,,,,,,,,,
August,238,Tom Halsb,44,12016,729.3333333,6,3,14,3,"Not Specified, Mortgage Loan, and Auto Loan",30,10,15.23,0,Standard,583.27,35.37122714,30 Years and 8 Months,Yes,20.74354374,10000,Low_spent_Medium_value_payments,303.1006423,Standard,,,,,,,,,,,,
January,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",7,17,5.32,1,,1127.57,33.15190296,24 Years and 7 Months,No,57.36421101,142.99474,LowspentLargevaluepayments,238.4816323,Standard,,,,,,,,,,,,
February,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",4,17,9.32,1,Standard,1127.57,28.23786491,24 Years and 8 Months,No,57.36421101,212.8475866,LowspentSmallvaluepayments,188.6287857,Standard,,,,,,,,,,,,
March,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,18,9.32,1,,1127.57,25.77179741,24 Years and 9 Months,No,57.36421101,81.82244884,LowspentMediumvaluepayments,309.6539235,Standard,,,,,,,,,,,,
April,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,12.32,6,,1127.57,31.99892988,24 Years and 10 Months,NM,57.36421101,67.88343218,HighspentMediumvaluepayments,293.5929401,Standard,,,,,,,,,,,,
May,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",9,16,12.32,6,Standard,1127.57,37.26595427,24 Years and 11 Months,No,57.36421101,19.65926177,HighspentMediumvaluepayments,341.8171106,Standard,,,,,,,,,,,,
June,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,5.32,6,Standard,1127.57,23.75918179,25 Years and 0 Months,No,57.36421101,87.13923493,LowspentSmallvaluepayments,314.3371374,Standard,,,,,,,,,,,,
July,239,Kentaros,50,19180.87,1688.405833,8,4,18,-100,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.32,6,Standard,1127.57,37.74736135,25 Years and 1 Months,No,57.36421101,67.91677061,Low_spent_Small_value_payments,333.5596017,Standard,,,,,,,,,,,,
August,239,Kentaros,50,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.32,6,Standard,1127.57,29.46533772,25 Years and 2 Months,No,57.36421101,107.9832273,High_spent_Small_value_payments,263.4931451,Standard,,,,,,,,,,,,
January,240,Ransdellj,30,60552.76,4950.063333,3,7,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",30,11,9.72,4,Good,463.07,37.02752347,18 Years and 9 Months,NM,111.7288201,66.53602515,HighspentMediumvaluepayments,566.7414881,Poor,,,,,,,,,,,,
February,240,Ransdellj,30,60552.76,4950.063333,1332,7,12,-100,"Mortgage Loan, Home Equity Loan, and Auto Loan",30,11,9.72,4,,463.07,25.22136275,18 Years and 10 Months,No,111.7288201,322.952025,HighspentSmallvaluepayments,320.3254882,Poor,,,,,,,,,,,,
March,240,Ransdellj,30,60552.76,4950.063333,3,7,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",26,11,9.72,4,Good,463.07,29.69423767,18 Years and 11 Months,NM,111.7288201,273.5412197,LowspentLargevaluepayments,379.7362935,Poor,,,,,,,,,,,,
April,240,Ransdellj,30,60552.76,4950.063333,3,211,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",33,11,9.72,4,Good,463.07,26.54875929,19 Years and 0 Months,No,111.7288201,289.201504,LowspentMediumvaluepayments,374.0760093,Poor,,,,,,,,,,,,
May,240,Ransdellj,31,60552.76,4950.063333,3,7,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",25,3815,10.72,4,Good,463.07,34.12312979,NA,NM,111.7288201,10000,LowspentSmallvaluepayments,10.30550807,Standard,,,,,,,,,,,,
June,240,,31,60552.76,4950.063333,3,7,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",34,14,9.72,4,,463.07,34.70874749,19 Years and 2 Months,No,111.7288201,293.0733953,LowspentSmallvaluepayments,380.204118,Standard,,,,,,,,,,,,
July,240,Ransdellj,31,60552.76,4950.063333,3,7,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",27,11,5.72,4,Good,463.07,29.36279123,19 Years and 3 Months,No,111.7288201,78.30053064,High_spent_Medium_value_payments,554.9769826,Poor,,,,,,,,,,,,
